Issuer Name,Ticker,ISIN,Amt Issued,Issue Date,Coupon,Maturity,Series,BBG Composite,Mty Type,Currency
New Zealand Government Bond,NZGB,NZIIBD0216R7,914755600,11/28/1995,4.5,2/15/2016,216,NR,AT MATURITY,NZD
New Zealand Government Bond,NZGB,NZGISD0008R6,68520000,#N/A Field Not Applicable,4.55,9/15/2001,901,NR,AT MATURITY,NZD
